"entry_id","effect_id","fred_id","fred_id_old","ref_o","doi_o","study_o","ref_r","doi_r","url_r","author_overlap","study_r","discipline","tags","description","claim_text_o","claim_page_o","n_o","es_value_o","es_type_o","es_repr_o","pval_value_o","pval_type_o","pval_tails_o","nested_o","prereg_o","n_r","es_value_r","es_type_r","es_repr_r","pval_value_r","pval_type_r","pval_tails_r","nested_r","prereg_r","r_o","r_r","file_o","file_r","statistical_success","reported_success","reported_success_quote","reported_success_quote_source","cos_phase1","claim_status_llm","journal_o","year_o","title_o","repl_is_new_data"
"flora_health_07",1,,,,"10.1080/10810730.2018.1472316",,,"10.1080/10810730.2025.2588698",,,,"health",,,"The moderated-mediation was greater than zero, index = .06 (95% CI: .02, .11). The strength of the indirect effect increased as religiosity decreased. Hypothesis 2 was supported.",,8614,0.06,"b",,,,,,,524,0.06,"b",,0.2,,,,,,,"10.1080--10810730.2018.1472316.pdf","10.1080--10810730.2025.2588698.pdf",FALSE,"failed",,,0,,"Journal of Health Communication",2018,"Sex Education, Public Opinion, and Pornography: A Conditional Process Analysis",TRUE
"flora_health_12",1,,,,"10.1377/hlthaff.2012.0393",,,"10.1111/1475-6773.12595",,,,"health",,,"Health Quality Partners reduced hospitalizations by 30 per 100 beneficiaries (33 percent; p=0.02) in the high-risk subgroup [treatment-control difference -0.297 annualized hospitalizations, 90% CI -0.507,-0.086].",,273,-0.297,"mean_diff",,0.02,,,,,483,0.065,"mean_diff",,,,,,,,,"10.1377--hlthaff.2012.0393.pdf","10.1111--1475-6773.12595.pdf",FALSE,"failed",,,0,,"Health Affairs",2012,"Six Features Of Medicare Coordinated Care Demonstration Programs That Cut Hospital Admissions Of High-Risk Patients",TRUE
"flora_health_18",1,,,,"10.1371/journal.pone.0181640",,,"10.1371/journal.pone.0281140",,,,"health",,,"Beliefs in the vaccines/autism link showed a significant correction-intervention x time interaction [F(3,116)=23.263, p<.001, partial eta2=.376]; the myths-vs-facts correction backfired, raising belief at Time 2 (F(1,29)=31.508, p<.001, partial eta2=.521).",,120,0.376,"other",,0.001,,,,,380,0.037,"other",,0.007,,,,,,,"10.1371--journal.pone.0181640.pdf","10.1371--journal.pone.0281140.pdf",FALSE,"failed",,,0,,"PLOS ONE",2017,"Misinformation lingers in memory: Failure of three pro-vaccination strategies",TRUE
"flora_health_f1",1,,,,"10.1016/j.jbtep.2018.07.002",,,"10.1037/xap0000270",,,,"health",,,"Relative to participants who received no trigger warnings, those receiving them perceived themselves as more vulnerable to persistent negative emotional effects of trauma (B=5.17, t(263)=2.12, p<.05).",,270,5.17,"b",,0.05,,,,,462,0.08,"other",,0.4,,,,,,,"10.1016--j.jbtep.2018.07.002.pdf","10.1037--xap0000270.pdf",FALSE,"failed",,,0,,"Journal of Behavior Therapy and Experimental Psychiatry",2018,"Trigger warning: Empirical evidence ahead",TRUE
"flora_health_f4",1,,,,"10.1016/j.paid.2023.112300",,,"10.1002/ijop.70199",,,,"health",,,"Anti-Vaxxers scored higher than Vaxxers on Dark Triad traits Machiavellianism (t=2.813, d=0.27) and Narcissism (t=3.303, d=0.35), both significant at the Bonferroni-corrected level p<=0.0036.",,479,0.35,"d",,0.0036,,,,,219,0.231,"d",,0.089,,,,,,,"10.1016--j.paid.2023.112300.pdf","10.1002--ijop.70199.pdf",FALSE,"failed",,,0,,"Personality and Individual Differences",2023,"To vaccinate or not to vaccinate? The role of personality",TRUE
"flora_health_f5",1,,,,"10.1111/add.14071",,,"10.1016/j.addbeh.2023.107778",,,,"health",,,"Moderate-to-high-risk gamblers showed a stronger automatic approach bias toward gambling than neutral cues (Stimulus x Group F(1,46)=5.49, p=.02, eta2p=.11; within-group t(21)=2.94, p=.008, d=.65).",,48,0.65,"d",,0.008,,,,,45,0.06,"d",,0.26,,,,,,,"10.1111--add.14071.pdf","10.1016--j.addbeh.2023.107778.pdf",FALSE,"failed",,,0,,"Addiction",2017,"Luck, come here! Automatic approach tendencies toward gambling cues in moderate- to high-risk gamblers",TRUE
"flora_health_f6",1,,,,"10.1177/0020872818804298",,,"10.1080/10803548.2022.2156095",,,,"health",,,"The interaction between perceived stress and resilience on burnout was significant (b=.02, SE=.01, beta=.23, t=2.79, p<.05), indicating resilience moderated/buffered the stress-burnout relationship.",,120,0.23,"beta (std)",,0.05,,,,,137,0,"beta (std)",,0.973,,,,,,,"10.1177--0020872818804298.pdf","10.1080--10803548.2022.2156095.pdf",FALSE,"failed",,,0,,"International Social Work",2018,"Resilience as a moderator of stress and burnout: A study of women social workers in India",TRUE
"flora_health_01",1,,,,"10.1016/s2213-8587(18)30051-2",,,"10.1007/s00125-021-05490-8",,,,"health",,,"Time to sustained insulin use was shortest in cluster 1 (hazard ratio [HR] 26.87, 95% CI 21.17-34.11, vs cluster 5), followed by cluster 2 (10.97, 8.73-13.77, vs cluster 5).",,8980,10.97,"HR",,,,,,,15940,3.4,"HR",,0.000424,,,,,,,"10.1016--s2213-8587(18)30051-2.pdf","10.1007--s00125-021-05490-8.pdf",TRUE,"successful",,,0,,"The Lancet Diabetes & Endocrinology",2018,"Novel subgroups of adult-onset diabetes and their association with outcomes: a data-driven cluster analysis of six variables",TRUE
"flora_health_02",1,,,,"10.1016/j.evalprogplan.2007.01.006",,,"10.1093/her/cyt088",,,,"health",,,"Sexual debut during program [PPV girls]: Program effect OR .59*** (95% CI .47-.73). A program effect was responsible for lowering the proportion of PPV girls who initiated sexual activity.",,2760,0.59,"OR",,0.001,,,,,13760,0.507,"OR",,0.001,,,,,,,"10.1016--j.evalprogplan.2007.01.006.pdf","10.1093--her--cyt088.pdf",TRUE,"successful",,,0,,"Evaluation and Program Planning",2007,"Quasi-experimental evaluation of a national primary school HIV intervention in Kenya",TRUE
"flora_health_04",1,,,,"10.1001/jama.2015.8950",,,"10.1136/tobaccocontrol-2021-056528",,,,"health",,,"Baseline e-cigarette use was associated with greater likelihood of use of any combustible tobacco product averaged across the 2 follow-up periods (OR 4.27 [95% CI 3.19-5.71]; adjusted OR 2.73 [2.00-3.73]).",,2530,4.27,"OR",,0.001,,,,,2185,5.63,"OR",,0.001,,,,,,,"10.1001--jama.2015.8950.pdf","10.1136--tobaccocontrol-2021-056528.pdf",TRUE,"successful",,,0,,"JAMA",2015,"Association of Electronic Cigarette Use With Initiation of Combustible Tobacco Product Smoking in Early Adolescence",TRUE
"flora_health_05",1,,,,"10.1186/s12913-017-2744-8",,,"10.2196/51056",,,,"health",,,"Over half (51.9%) of respondents would be willing to see their own provider by telemedicine; 34.9% a different provider same org; 18.6% different org (p<0.001).",,4345,0.519,"proportion",,0.001,,,,,4577,0.6196,"proportion",,0.001,,,,,,,"10.1186--s12913-017-2744-8.pdf","10.2196--51056.pdf",TRUE,"successful",,,0,,"BMC Health Services Research",2017,"Patient preferences for direct-to-consumer telemedicine services: a nationwide survey",TRUE
"flora_health_06",1,,,,"10.2196/26134",,,"10.1080/02673843.2025.2587284",,,,"health",,,"Total social media use was associated with more depressive symptoms (R2=0.12; F3,4480=207.1; P<.001; f2=0.14), anxiety, and loneliness, controlling for age and gender.",,4484,0.12,"R2",,0.001,,,,,2034,0.05,"r-squared",,0.001,,,,,,,"10.2196--26134.pdf","10.1080--02673843.2025.2587284.pdf",TRUE,"successful",,,0,,"JMIR Mental Health",2021,"Social Media Use, Physical Activity, and Internalizing Symptoms in Adolescence: Cross-sectional Analysis",TRUE
"flora_health_08",1,,,,"10.1007/s11606-021-06676-x",,,"10.1097/mlr.0000000000002256",,,,"health",,,"The 180-day mortality HR was 0.577 (95% CI: 0.474, 0.704) for CCP patients versus matched control patients.",,1858,0.577,"HR",,0.05,,,,,2880,0.71,"HR",,0.04,,,,,,,"10.1007--s11606-021-06676-x.pdf","10.1097--mlr.0000000000002256.pdf",TRUE,"successful",,,0,,"Journal of General Internal Medicine",2021,"Comparative Effectiveness of a Complex Care Program for High-Cost/High-Need Patients: a Retrospective Cohort Study",TRUE
"flora_health_10",1,,,,"10.1186/s12913-021-06708-6",,,"10.1186/s12913-023-09505-5",,,,"health",,,"Six different classes of dementia care dyads were identified, based on best BIC, significant likelihood ratio test (p<0.001), high entropy (0.87).",,551,6,"other",,0.001,,,,,509,6,"other",,0.001,,,,,,,"10.1186--s12913-021-06708-6.pdf","10.1186--s12913-023-09505-5.pdf",TRUE,"successful",,,0,,"BMC Health Services Research",2021,"Sociodemographic aspects and health care-related outcomes: a latent class analysis of informal dementia care dyads",TRUE
"flora_health_13",1,,,,"10.31234/osf.io/7tm3s",,,"10.1177/19401612251378969",,,,"health",,,"In the UK, more frequent general news use broadened awareness of false claims (b=.06 [.003,.11]) but weakened false belief acquisition (b=-.53 [-.74,-.32]).",,1764,0.06,"b",,0.05,,,,,3395,0.14,"beta (std)",,0.001,,,,,,,"10.31234--osf.io--7tm3s.pdf","10.1177--19401612251378969.pdf",TRUE,"successful",,,0,,,2022,"The impact of news media and digital platform use on awareness of and belief in COVID-19 misinformation",TRUE
"flora_health_15",1,,,,"10.1093/qje/qjr029",,,"10.1002/jae.2445",,,,"health",,,"Sons receive an additional 0.37 months of breastfeeding relative to daughters (Table 3 col.1: Male=0.3681***, SE 0.0384, p<0.01, N=110,183).",,110183,0.3681,"b",,0.01,,,,,45358,0.652,"b",,0.01,,,,,,,"10.1093--qje--qjr029.pdf","10.1002--jae.2445.pdf",TRUE,"successful",,,0,,"The Quarterly Journal of Economics",2011,"Why Do Mothers Breastfeed Girls Less than Boys? Evidence and Implications for Child Health in India",TRUE
"flora_health_16",1,,,,"10.2196/20572",,,"10.2196/45481",,,,"health",,,"The most important predictor of intention was perceived benefits (beta=.41, P<.001), followed by self-efficacy (.25) and perceived barriers (-.21).",,1500,0.41,"beta",,0.001,,,,,519,0.6,"beta (std)",,0.001,,,,,,,"10.2196--20572.pdf","10.2196--45481.pdf",TRUE,"successful",,,0,,"JMIR Public Health and Surveillance",2020,"Adoption of a Contact Tracing App for Containing COVID-19: A Health Belief Model Approach",TRUE
