claim_id,dataset,judge_skeptic_opus_p,judge_skeptic_opus_conf,judge_skeptic_gpt55_p,judge_skeptic_gpt55_conf,judge_skeptic_gem31_p,judge_skeptic_gem31_conf,judge_field_opus_p,judge_field_opus_conf,judge_field_gpt55_p,judge_field_gpt55_conf,judge_field_gem31_p,judge_field_gem31_conf,judge_bayesian_opus_p,judge_bayesian_opus_conf,judge_bayesian_gpt55_p,judge_bayesian_gpt55_conf,judge_bayesian_gem31_p,judge_bayesian_gem31_conf,judge_generalist_opus_p,judge_generalist_opus_conf,judge_generalist_gpt55_p,judge_generalist_gpt55_conf,judge_generalist_gem31_p,judge_generalist_gem31_conf,judge_n_responses,judge_mean_p,judge_median_p,judge_sd_p,judge_min_p,judge_max_p,judge_iqr_p,judge_persona_disagreement,judge_model_disagreement,expected_power,p_replication_observed
0qar_single-trace,round1,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,high,12,0.2433,0.3,0.0837,0.13,0.3,0.17,0.0,0.0981,0.8,0.2325
1574_single-trace,round2,0.87,high,0.87,medium,0.87,high,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.87,0.87,0.0,0.87,0.87,0.0,0.0,0.0,0.8,0.7025
1VeW_single-trace,round2,0.7,medium,0.7,medium,0.7,medium,0.87,medium,0.7,medium,0.5,medium,0.7,low,0.7,medium,0.5,low,0.7,medium,0.7,medium,0.7,low,12,0.6808,0.7,0.0975,0.5,0.87,0.0,0.032,0.0732,0.8,0.5606
1X9W_single-trace,round1,0.13,medium,0.13,medium,0.13,high,0.13,high,0.13,medium,0.03,high,0.13,medium,0.13,medium,0.13,high,0.13,medium,0.3,medium,0.13,high,12,0.1358,0.13,0.0592,0.03,0.3,0.0,0.0374,0.0341,0.8,0.1519
2GKO_single-trace,round1,0.7,low,0.5,medium,0.3,medium,0.5,low,0.5,medium,0.3,medium,0.3,low,0.5,medium,0.3,medium,0.3,medium,0.7,low,0.3,medium,12,0.4333,0.4,0.1557,0.3,0.7,0.2,0.0544,0.1258,0.8,0.375
2lb5_single-trace,round1,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,medium,0.87,medium,0.7,medium,0.87,medium,12,0.8558,0.87,0.0491,0.7,0.87,0.0,0.0283,0.0245,0.8,0.6919
347d_single-trace,round2,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.87,0.87,0.0,0.87,0.87,0.0,0.0,0.0,0.8,0.7025
3aPw_single-trace,round2,0.87,high,0.7,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,12,0.8275,0.87,0.0769,0.7,0.87,0.085,0.0283,0.0736,0.8,0.6706
4q0L_single-trace,round2,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,low,0.7,medium,0.7,low,0.7,medium,0.7,medium,0.7,low,0.7,medium,0.7,low,12,0.7142,0.7,0.0491,0.7,0.87,0.0,0.0283,0.0245,0.8,0.5857
59bm_single-trace,round2,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,low,0.87,high,12,0.7567,0.7,0.0837,0.7,0.87,0.17,0.0,0.0981,0.8,0.6175
5Awm_single-trace,round2,0.5,medium,0.7,medium,0.3,medium,0.5,medium,0.5,medium,0.3,medium,0.5,low,0.7,low,0.3,medium,0.7,low,0.7,medium,0.7,medium,12,0.5333,0.5,0.167,0.3,0.7,0.3,0.1155,0.1258,0.8,0.45
5JE_single-trace,round1,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.5,low,0.3,medium,12,0.3025,0.3,0.0791,0.13,0.5,0.0,0.0504,0.0463,0.8,0.2769
5Kgq_single-trace,round1,0.87,low,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.7,medium,0.87,medium,0.7,medium,0.87,medium,12,0.785,0.785,0.0888,0.7,0.87,0.17,0.0567,0.0736,0.8,0.6388
5KrD_single-trace,round1,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.7,low,0.3,medium,12,0.3333,0.3,0.1155,0.3,0.7,0.0,0.0667,0.0577,0.8,0.3
5Q82_single-trace,round2,0.5,low,0.3,medium,0.3,medium,0.5,low,0.3,low,0.3,medium,0.5,low,0.7,low,0.3,low,0.5,low,0.5,low,0.3,medium,12,0.4167,0.4,0.1337,0.3,0.7,0.2,0.0638,0.1041,0.8,0.3625
5Xaw_single-trace,round2,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.5,medium,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.5,low,0.5,medium,0.3,medium,12,0.35,0.3,0.0905,0.3,0.5,0.1,0.0638,0.05,0.8,0.3125
7RR2_2kl87y,round2,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,12,0.2858,0.3,0.0491,0.13,0.3,0.0,0.0283,0.0245,0.8,0.2644
7RR2_4d3878,round2,0.3,medium,0.7,medium,0.7,medium,0.3,medium,0.7,medium,0.3,medium,0.3,low,0.7,medium,0.3,medium,0.3,low,0.7,medium,0.7,medium,12,0.5,0.5,0.2089,0.3,0.7,0.4,0.077,0.2,0.8,0.425
7RR2_5vw85q,round2,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,medium,0.3,medium,12,0.2575,0.3,0.0769,0.13,0.3,0.085,0.0283,0.0736,0.8,0.2431
7RR2_89x817,round1,0.3,medium,0.3,low,0.13,high,0.13,medium,0.3,medium,0.13,medium,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,low,0.3,medium,12,0.2433,0.3,0.0837,0.13,0.3,0.17,0.0463,0.0649,0.8,0.2325
7RR2_9qjzdd,round1,0.13,medium,0.13,high,0.13,medium,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,medium,0.13,high,0.13,medium,0.3,medium,0.3,high,12,0.215,0.215,0.0888,0.13,0.3,0.17,0.0567,0.0425,0.8,0.2113
7RR2_b2pwnv,round2,0.13,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.5,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,12,0.3025,0.3,0.0791,0.13,0.5,0.0,0.0504,0.0463,0.8,0.2769
7RR2_bd3w94,round1,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,12,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.8,0.275
7RR2_bn72ln,round2,0.13,high,0.13,medium,0.13,high,0.13,high,0.3,medium,0.13,high,0.13,high,0.3,medium,0.13,high,0.13,high,0.13,medium,0.13,high,12,0.1583,0.13,0.0662,0.13,0.3,0.0,0.0327,0.0491,0.8,0.1687
7RR2_bolw7q,round1,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,12,0.3,0.3,0.0,0.3,0.3,0.0,0.0,0.0,0.8,0.275
7RR2_brwop3,round2,0.5,low,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.7,low,0.3,medium,0.3,medium,0.7,low,0.3,medium,12,0.3833,0.3,0.1586,0.3,0.7,0.1,0.0638,0.1041,0.8,0.3375
7RR2_d5dy7d,round2,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,low,0.3,medium,12,0.2858,0.3,0.0491,0.13,0.3,0.0,0.0283,0.0245,0.8,0.2644
7RR2_g4xnzl,round1,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.5,low,0.3,medium,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,low,0.13,high,12,0.2742,0.3,0.1039,0.13,0.5,0.085,0.0617,0.0915,0.8,0.2556
7RR2_m5jnlk,round2,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.13,medium,0.3,low,0.3,medium,0.3,medium,0.3,medium,0.5,medium,12,0.3025,0.3,0.0791,0.13,0.5,0.0,0.0504,0.0463,0.8,0.2769
7RR2_m84pw1,round1,0.13,high,0.13,medium,0.13,high,0.13,high,0.13,medium,0.03,high,0.13,high,0.3,medium,0.13,high,0.13,high,0.3,medium,0.13,high,12,0.15,0.13,0.0757,0.03,0.3,0.0,0.0445,0.0577,0.8,0.1625
7RR2_my485o,round1,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.5,low,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,low,0.3,medium,12,0.3167,0.3,0.0577,0.3,0.5,0.0,0.0333,0.0289,0.8,0.2875
7RR2_n1rp5w,round2,0.13,medium,0.3,medium,0.13,high,0.13,medium,0.3,medium,0.13,high,0.13,medium,0.3,medium,0.13,medium,0.13,medium,0.3,medium,0.13,high,12,0.1867,0.13,0.0837,0.13,0.3,0.17,0.0,0.0981,0.8,0.19
7RR2_odrqvl,round1,0.3,low,0.5,medium,0.3,medium,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.7,low,0.3,medium,0.3,medium,0.7,low,0.3,medium,12,0.3833,0.3,0.1586,0.3,0.7,0.1,0.0638,0.1443,0.8,0.3375
7RR2_yor7v2,round2,0.5,low,0.7,medium,0.3,medium,0.3,low,0.7,low,0.3,medium,0.3,low,0.7,medium,0.3,medium,0.3,low,0.7,medium,0.3,medium,12,0.45,0.3,0.1931,0.3,0.7,0.4,0.0333,0.2179,0.8,0.3875
7X54_m6qkxx,round2,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.7,medium,0.87,medium,0.7,medium,0.87,high,0.7,low,0.7,medium,0.7,medium,12,0.7708,0.7,0.0875,0.7,0.87,0.17,0.0543,0.0649,0.8,0.6281
7X54_single-trace,round1,0.87,high,0.87,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,high,0.87,medium,0.87,high,0.87,medium,0.5,low,0.87,high,12,0.825,0.87,0.1134,0.5,0.87,0.0,0.0587,0.0779,0.8,0.6688
88xa_single-trace,round1,0.3,medium,0.5,medium,0.13,medium,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.5,medium,0.3,medium,12,0.305,0.3,0.1118,0.13,0.5,0.0,0.0505,0.0926,0.8,0.2787
8R9d_single-trace,round2,0.7,medium,0.5,medium,0.7,medium,0.7,medium,0.3,medium,0.87,medium,0.5,low,0.7,medium,0.87,high,0.7,low,0.5,medium,0.7,medium,12,0.645,0.7,0.1656,0.3,0.87,0.2,0.0304,0.1426,0.8,0.5338
8wZ0_single-trace,round1,0.13,medium,0.3,medium,0.13,high,0.13,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.5,medium,0.3,medium,12,0.2458,0.3,0.1165,0.13,0.5,0.17,0.0849,0.0927,0.8,0.2344
9J1_single-trace,round2,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,12,0.2717,0.3,0.0662,0.13,0.3,0.0,0.0327,0.0491,0.8,0.2538
9OK1_3n2npq,round2,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,12,0.7,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.8,0.575
9OK1_ppwpjr,round2,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,low,0.7,medium,0.7,medium,0.7,low,0.7,medium,0.7,medium,12,0.7,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.8,0.575
9OK1_q7q7np,round1,0.7,low,0.7,medium,0.3,medium,0.5,low,0.5,medium,0.3,medium,0.7,low,0.7,medium,0.3,low,0.7,low,0.7,medium,0.3,medium,12,0.5333,0.6,0.1875,0.3,0.7,0.4,0.0667,0.2021,0.8,0.45
9OK1_w7d7ly,round1,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,high,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,12,0.7,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.8,0.575
9R9X_single-trace,round2,0.3,medium,0.5,medium,0.3,medium,0.3,medium,0.5,low,0.13,medium,0.3,medium,0.5,medium,0.3,medium,0.3,medium,0.7,low,0.3,medium,12,0.3692,0.3,0.1512,0.13,0.7,0.2,0.0504,0.158,0.8,0.3269
9ey_single-trace,round2,0.87,high,0.87,medium,0.87,high,0.87,high,0.87,medium,0.87,medium,0.87,medium,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.87,high,12,0.87,0.87,0.0,0.87,0.87,0.0,0.0,0.0,0.8,0.7025
ACHG,round3,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,12,0.785,0.785,0.0888,0.7,0.87,0.17,0.0327,0.085,0.8,0.6388
AOQj_single-trace,round1,0.7,medium,0.87,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.8133,0.87,0.0837,0.7,0.87,0.17,0.0463,0.0649,0.8,0.66
AYQG_6rp9on,round2,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,low,0.3,high,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.3,low,0.3,medium,12,0.2858,0.3,0.0491,0.13,0.3,0.0,0.0283,0.0245,0.8,0.2644
AYQG_l8rz5d,round1,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,high,0.3,low,0.3,low,0.3,medium,0.5,medium,0.3,low,0.3,medium,12,0.3167,0.3,0.0577,0.3,0.5,0.0,0.0333,0.0289,0.8,0.2875
AYQG_w7r4vl,round2,0.3,low,0.3,medium,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,low,0.5,low,0.3,medium,12,0.3167,0.3,0.0577,0.3,0.5,0.0,0.0333,0.0289,0.8,0.2875
AgO1_single-trace,round1,0.7,low,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.13,medium,0.5,low,0.7,medium,0.3,medium,0.5,low,0.7,medium,0.3,high,12,0.5525,0.7,0.2053,0.13,0.7,0.3,0.0984,0.1761,0.8,0.4644
AqDO_single-trace,round1,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.7,low,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.3,medium,0.3,low,0.3,medium,12,0.3333,0.3,0.1155,0.3,0.7,0.0,0.0667,0.0577,0.8,0.3
AqDO_ywjwq1,round2,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,low,0.7,medium,0.7,low,0.7,medium,0.7,low,0.7,medium,0.7,low,0.7,medium,12,0.7,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.8,0.575
AvOr_b7dlq4,round2,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.5,medium,0.3,medium,0.5,low,0.3,medium,0.3,medium,0.5,low,0.5,low,0.3,medium,12,0.3667,0.3,0.0985,0.3,0.5,0.2,0.0544,0.0577,0.8,0.325
AvOr_grlzkw,round2,0.7,low,0.7,medium,0.7,medium,0.7,low,0.7,medium,0.7,medium,0.7,low,0.7,low,0.7,medium,0.7,medium,0.7,medium,0.7,medium,12,0.7,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.8,0.575
AvOr_single-trace,round1,0.87,medium,0.7,medium,0.7,medium,0.87,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,high,12,0.7283,0.7,0.0662,0.7,0.87,0.0,0.0327,0.0491,0.8,0.5962
AvWY_single-trace,round2,0.3,medium,0.3,medium,0.13,high,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,low,0.13,medium,0.3,medium,0.5,low,0.3,high,12,0.2883,0.3,0.0935,0.13,0.5,0.0,0.0587,0.0683,0.8,0.2662
BKxK_single-trace,round2,0.13,medium,0.3,medium,0.13,high,0.3,low,0.3,medium,0.13,medium,0.3,medium,0.3,medium,0.13,medium,0.3,medium,0.3,medium,0.3,medium,12,0.2433,0.3,0.0837,0.13,0.3,0.17,0.0463,0.0649,0.8,0.2325
BOZX,round3,0.3,medium,0.5,medium,0.3,medium,0.7,low,0.7,low,0.7,medium,0.3,medium,0.5,low,0.3,medium,0.3,medium,0.5,low,0.3,high,12,0.45,0.4,0.1732,0.3,0.7,0.3,0.1667,0.0866,0.8,0.3875
BRDX,round3,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,low,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.3,medium,0.5,medium,0.3,medium,12,0.3167,0.3,0.0577,0.3,0.5,0.0,0.0333,0.0289,0.8,0.2875
BTXN,round3,0.87,medium,0.87,medium,0.87,high,0.87,high,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.87,0.87,0.0,0.87,0.87,0.0,0.0,0.0,0.8,0.7025
BlRQ_single-trace,round2,0.87,high,0.87,medium,0.87,high,0.87,high,0.87,medium,0.87,high,0.87,high,0.87,medium,0.97,high,0.87,high,0.87,medium,0.87,high,12,0.8783,0.87,0.0289,0.87,0.97,0.0,0.0167,0.0144,0.8,0.7087
Blxd_282qvz,round2,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.7992,0.87,0.0875,0.7,0.87,0.17,0.0543,0.0649,0.8,0.6494
Blxd_5821x4,round1,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.7,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,medium,12,0.8275,0.87,0.0769,0.7,0.87,0.085,0.0283,0.0425,0.8,0.6706
Blxd_bl7k78,round1,0.87,medium,0.5,medium,0.87,high,0.87,medium,0.7,low,0.87,high,0.7,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,12,0.7825,0.87,0.1208,0.5,0.87,0.17,0.0358,0.1167,0.8,0.6369
Blxd_bx4248,round2,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,low,0.87,medium,0.7,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,12,0.7992,0.87,0.0875,0.7,0.87,0.17,0.0283,0.0885,0.8,0.6494
Blxd_single-trace,round2,0.7,low,0.7,low,0.7,medium,0.7,low,0.7,medium,0.7,medium,0.7,low,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,12,0.7,0.7,0.0,0.7,0.7,0.0,0.0,0.0,0.8,0.575
Br0x_jrn5ll,round1,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.5,medium,0.7,medium,0.7,medium,0.7,low,0.87,medium,0.7,medium,0.7,medium,0.7,medium,12,0.6975,0.7,0.0791,0.5,0.87,0.0,0.0504,0.0463,0.8,0.5731
Br0x_pjvzxv,round1,0.87,medium,0.87,medium,0.87,high,0.87,medium,0.87,medium,0.87,medium,0.7,medium,0.87,medium,0.87,medium,0.7,medium,0.87,medium,0.87,high,12,0.8417,0.87,0.0662,0.7,0.87,0.0,0.0327,0.0491,0.8,0.6813
Br0x_qn1lz8,round2,0.3,low,0.3,medium,0.3,medium,0.3,low,0.5,medium,0.3,medium,0.3,medium,0.3,low,0.3,medium,0.3,low,0.5,low,0.3,medium,12,0.3333,0.3,0.0778,0.3,0.5,0.0,0.0385,0.0577,0.8,0.3
Br0x_single-trace,round2,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.87,medium,0.87,medium,0.87,medium,0.87,medium,0.7,medium,12,0.8275,0.87,0.0769,0.7,0.87,0.085,0.0283,0.0425,0.8,0.6706
Br0x_x7yjx8,round1,0.3,medium,0.7,medium,0.3,low,0.3,low,0.7,low,0.7,medium,0.3,medium,0.7,low,0.3,low,0.3,medium,0.7,medium,0.3,medium,12,0.4667,0.3,0.206,0.3,0.7,0.4,0.0667,0.2082,0.8,0.4
BrGp_5rpk15,round2,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,high,0.7,medium,0.87,high,12,0.8133,0.87,0.0837,0.7,0.87,0.17,0.0,0.0981,0.8,0.66
BrGp_7rxk4x,round2,0.7,medium,0.5,medium,0.87,medium,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,low,0.87,medium,12,0.7258,0.7,0.1039,0.5,0.87,0.085,0.0358,0.0915,0.8,0.5944
BrGp_8njk52,round1,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.87,high,0.7,low,0.5,medium,0.3,medium,0.7,low,0.5,low,0.87,high,12,0.6617,0.7,0.1596,0.3,0.87,0.1,0.1117,0.0539,0.8,0.5463
BrGp_blv93q,round2,0.97,high,0.87,medium,0.97,high,0.97,high,0.87,medium,0.87,high,0.97,high,0.87,medium,0.97,high,0.97,high,0.87,medium,0.87,high,12,0.92,0.92,0.0522,0.87,0.97,0.1,0.0192,0.05,0.8,0.74
BrGp_g3ov8l,round2,0.7,low,0.7,low,0.7,medium,0.5,low,0.7,medium,0.7,medium,0.5,low,0.5,medium,0.7,medium,0.7,low,0.5,low,0.87,medium,12,0.6475,0.7,0.119,0.5,0.87,0.2,0.0614,0.0823,0.8,0.5356
BrGp_m67j81,round1,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.87,high,0.7,medium,0.87,high,0.87,high,0.7,medium,0.87,high,12,0.8275,0.87,0.0769,0.7,0.87,0.085,0.0283,0.0736,0.8,0.6706
BrGp_o25x3z,round1,0.7,low,0.7,low,0.7,medium,0.7,medium,0.5,medium,0.87,high,0.7,low,0.5,low,0.7,medium,0.7,low,0.7,low,0.87,medium,12,0.695,0.7,0.1118,0.5,0.87,0.0,0.0505,0.0926,0.8,0.5712
BrGp_y3kqy7,round1,0.87,medium,0.7,medium,0.87,high,0.87,high,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,high,0.7,medium,0.87,high,12,0.8133,0.87,0.0837,0.7,0.87,0.17,0.0,0.0981,0.8,0.66
CEQM,round3,0.7,medium,0.7,medium,0.87,medium,0.7,medium,0.7,medium,0.87,medium,0.7,low,0.7,medium,0.7,medium,0.7,medium,0.7,medium,0.87,high,12,0.7425,0.7,0.0769,0.7,0.87,0.085,0.0283,0.0736,0.8,0.6069
D2LY_g81lpo,round1,0.87,medium,0.87,medium,0.7,medium,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,12,0.8275,0.87,0.0769,0.7,0.87,0.085,0.0283,0.0425,0.8,0.6706
D2LY_mn5k2x,round1,0.7,medium,0.7,medium,0.87,high,0.87,medium,0.87,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,0.7,medium,0.7,medium,0.87,high,12,0.785,0.785,0.0888,0.7,0.87,0.17,0.0567,0.0736,0.8,0.6388
D2LY_mov8w7,round2,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,medium,0.87,medium,0.87,medium,0.87,high,12,0.8275,0.87,0.0769,0.7,0.87,0.085,0.0283,0.0736,0.8,0.6706
D2LY_mrdnoj,round1,0.5,medium,0.5,medium,0.87,medium,0.7,medium,0.7,medium,0.87,medium,0.3,medium,0.5,medium,0.3,medium,0.5,low,0.7,low,0.87,high,12,0.6092,0.6,0.2062,0.3,0.87,0.285,0.1706,0.114,0.8,0.5069
DEqr_single-trace,round1,0.7,medium,0.7,medium,0.87,high,0.87,medium,0.7,medium,0.87,high,0.7,medium,0.87,medium,0.7,medium,0.7,medium,0.7,medium,0.87,medium,12,0.7708,0.7,0.0875,0.7,0.87,0.17,0.0283,0.0491,0.8,0.6281
